address,company,des,job,money,qua,req
上海,上海拍拍贷金融信息服务有限公司,"绩效奖金,五险一金,带薪年假,午餐补助",python工程师,12k-24k,金融/上市公司,本科/3-5年
上海,上海墨沐金融信息服务有限公司,"不差钱,经纬中国,核心竞争力,弹性工作",资深python开发工程师,25k-35k,"移动互联网,金融/A轮",本科/3-5年
上海,上海合合信息科技发展有限公司,"团队建设,技能培训,节日礼物,年底分红",python开发工程师,11k-22k,移动互联网/C轮,本科/1-3年
上海,上海中软华腾软件系统有限公司,"年底双薪,绩效奖金,带薪年假,定期体检",python工程师,12k-20k,"企业服务,金融/上市公司",本科/3-5年
上海,上海道客网络科技有限公司,"工程师文化,业界大牛,改变世界,豪华团队",Python开发工程师,20k-40k,"企业服务,数据服务/A轮",本科/3-5年
上海,平安科技（深圳）有限公司,"节日礼物,年度旅游,岗位晋升,技能培训",Python开发工程师（上海）,15k-30k,金融/不需要融资,本科/不限
上海,无锡华云数据技术服务有限公司,"节日礼物,带薪年假,扁平管理,弹性工作",Python开发工程师,18k-28k,"移动互联网,数据服务/D轮及以上",本科/3-5年
上海,蜜柚网络科技（上海）有限公司,"技能培训,节日礼物,股票期权,带薪年假",高级Python开发工程师,25k-50k,"社交网络,文化娱乐/不需要融资",本科/3-5年
上海,上海海万信息科技股份有限公司,,python,8k-15k,"移动互联网,金融/不需要融资",本科/3-5年
上海,上海众言网络科技有限公司,"技能培训,节日礼物,年底双薪,绩效奖金",Python开发师,12k-24k,移动互联网/B轮,本科/3-5年
上海,上海进馨网络科技有限公司,"股票期权,岗位晋升,扁平管理,五险一金",Python开发工程师,15k-25k,"移动互联网,教育/B轮",本科/3-5年
上海,北京来也网络科技有限公司,"绩效奖金,扁平管理,领导好,五险一金",Python开发工程师(193),15k-30k,移动互联网/B轮,不限/不限
上海,上海米闲企业管理合伙企业(有限合伙),,Python工程师,10k-20k,"移动互联网,企业服务/不需要融资",本科/1-3年
上海,宏居网络技术（上海）有限公司,"带薪年假,岗位晋升,扁平管理,美女多",Python开发／后端软件工程师.,20k-30k,移动互联网/B轮,本科/3-5年
