address,company,des,job,money,qua,req
上海,上海基分文化传播有限公司,"专项奖金,带薪年假,弹性工作,管理规范",Python开发工程师,20k-35k,移动互联网/上市公司,大专/3-5年
上海,上海德启信息科技有限公司,"技能培训,绩效奖金,岗位晋升,管理规范",Python开发,13k-26k,移动互联网/不需要融资,大专/3-5年
杭州,武汉佰钧成技术有限责任公司,"带薪年假,计算机软件,管理规范,定期体检",python工程师,10k-14k,移动互联网/不需要融资,本科/不限
北京,中电信用服务有限公司,"绩效奖金,带薪年假,股票期权,午餐补助",Python工程师,15k-25k,"移动互联网,金融/未融资",本科/5-10年
北京,医渡云（北京）技术有限公司,"节日礼物,年底双薪,股票期权,带薪年假",Python研发工程师,25k-50k,"O2O,医疗健康/B轮",本科/5-10年
北京,北京点石经纬科技有限公司,"五险一金,带薪年假,节日礼物,年度旅游",Python工程师,15k-30k,"移动互联网,教育/B轮",大专/3-5年
合肥,安徽中新软件有限公司,"年底双薪,技能培训,节日礼物,绩效奖金",Python开发工程师,6k-12k,"硬件,信息安全/不需要融资",本科/1-3年
西安,北京神州绿盟信息安全科技股份有限公司,"技能培训,节日礼物,股票期权,带薪年假",python开发工程师,9k-15k,信息安全/上市公司,本科/1-3年
上海,上海医时信息科技有限公司,"专项奖金,年底双薪,美女多,帅哥多",Python开发工程师,8k-15k,"移动互联网,医疗健康/A轮",本科/1-3年
上海,威比网络科技（上海）有限公司,"技能培训,年度旅游,岗位晋升,扁平管理",Python工程师,15k-20k,"移动互联网,教育/C轮",本科/1-3年
西安,西安艾润物联网技术服务有限责任公司,"节日礼物,年底双薪,专项奖金,年度旅游",Python,8k-15k,"移动互联网,生活服务/A轮",大专/1-3年
上海,贝壳金科控股有限公司,"专项奖金,年终分红,定期体检,绩效奖金",python开发工程师,25k-50k,金融、移动互联网/未融资,本科/不限
长沙,湖南优势智通信息技术有限公司,"带薪年假,绩效奖金,岗位晋升,管理规范",Python开发工程师,10k-13k,数据服务/未融资,本科/1-3年
天津,天津开发区先特网络系统有限公司,"技能培训,节日礼物,专项奖金,带薪年假",python工程师,10k-20k,"硬件,数据服务/未融资",本科/5-10年
上海,瞬联软件科技（北京）有限公司,"高薪,节日礼物,弹性工作,带薪年假",Python软件开发工程师,10k-15k,"移动互联网 ,企业服务/不需要融资",本科/1-3年
北京,上海基分文化传播有限公司,"专项奖金,带薪年假,弹性工作,管理规范",python开发工程师,20k-40k,移动互联网/上市公司,本科/5-10年
上海,上海德启信息科技有限公司,"技能培训,绩效奖金,岗位晋升,管理规范",运维开发工程师-Python,13k-26k,移动互联网/不需要融资,大专/3-5年
杭州,武汉佰钧成技术有限责任公司,"带薪年假,计算机软件,管理规范,定期体检",python开发,10k-20k,移动互联网/不需要融资,大专/3-5年
北京,北京汉迪移动互联网科技股份有限公司,"带薪年假,定期体检,文化open,扁平化管理",Python开发工程师,15k-30k,移动互联网/不需要融资,本科/1-3年
武汉,北京好巧国际旅行社有限公司,"五险一金,弹性工作,扁平管理,百万医疗",Python开发工程师,8k-15k,数据服务/B轮,本科/3-5年
上海,耘智信息科技（上海）有限公司,"股票期权,扁平管理,年终分红,五险一金",Django/Python/后端开发,20k-35k,"移动互联网,企业服务/A轮",本科/3-5年
北京,上海海知智能科技有限公司,"晋升空间大,硅谷管理风格,创新前沿,尊重个性",Python开发工程师,20k-40k,"移动互联网,数据服务/A轮",本科/3-5年
上海,上海敏为信息技术有限公司,"不差钱,经纬中国,核心竞争力,弹性工作",python 开发工程师,15k-30k,"移动互联网,金融/A轮",本科/1-3年
北京,北京汇行科技有限公司,"股票期权,十四薪,零食饮料水果,团队氛围好",高级Python开发工程师,12k-24k,旅游/B轮,本科/1-3年
重庆,重庆撼地大数据有限公司,"""""",python开发工程师,6k-10k,"企业服务,数据服务/不需要融资",本科/不限
北京,北京步鼎方舟科技有限公司,,Python开发工程师,10k-18k,"移动互联网,O2O/C轮",本科/3-5年
上海,上海进馨网络科技有限公司,"股票期权,岗位晋升,扁平管理,五险一金",Python开发工程师,15k-30k,"移动互联网,教育/B轮",本科/3-5年
武汉,湖北百旺金赋科技有限公司,"年底双薪,交通补助,带薪年假,定期体检",Python开发,6k-10k,"移动互联网,其他/不需要融资",本科/1-3年
郑州,大河网络传媒有限公司,"节日礼物,年底双薪,专项奖金,带薪年假",Python,5k-10k,文化娱乐/不需要融资,本科/3-5年
北京,北京博派通达科技有限公司,"年底双薪,股票期权,带薪年假,扁平管理",Python 开发工程师,15k-30k,"移动互联网,硬件/A轮",不限/3-5年
西安,北京神州绿盟信息安全科技股份有限公司,"技能培训,节日礼物,股票期权,带薪年假",python开发工程师,8k-10k,信息安全/上市公司,本科/3-5年
苏州,上海众言网络科技有限公司,"技能培训,节日礼物,年底双薪,绩效奖金",Python,6k-12k,移动互联网/B轮,本科/1-3年
上海,舶乐蜜电子商务（上海）有限公司,"股票期权,国际化团队,扁平管理,薪资高",Python开发工程师,15k-20k,"移动互联网,电子商务/B轮",本科/1-3年
广州,广东省电信规划设计院有限公司,"绩效奖金,带薪年假,通讯津贴,年底双薪",Python工程师,6k-8k,"移动互联网,金融/上市公司",本科/1-3年
北京,北京智水互娱科技有限公司,,Python开发工程师,20k-40k,游戏/不需要融资,大专/1-3年
无锡,无锡乐骐科技有限公司,"年度旅游,五险一金,双休",Python开发工程师,7k-10k,"移动互联网,硬件/不需要融资",本科/不限
深圳,上海海知智能科技有限公司,"晋升空间大,硅谷管理风格,创新前沿,尊重个性",Python开发工程师,20k-40k,"移动互联网,数据服务/A轮",本科/3-5年
广州,武汉佰钧成技术有限责任公司,"带薪年假,计算机软件,管理规范,定期体检",python,10k-18k,移动互联网/不需要融资,本科/1-3年
北京,北京智分科技有限公司,"年底双薪,免费两餐,Geek范,免费健身",高级Python开发工程师,25k-45k,移动互联网/不需要融资,本科/3-5年
深圳,妙印云科技（深圳）有限公司,"年底双薪,绩效奖金,弹性工作制,超长带薪年假",开发工程师/Python,14k-28k,"移动互联网,电子商务/不需要融资",本科/3-5年
苏州,苏州睿小麟教育科技有限公司,"股票期权,带薪年假,午餐补助,年底双薪",Python开发工程师,8k-12k,"移动互联网,教育/天使轮",本科/1-3年
深圳,上海海万信息科技股份有限公司,,python开发工程师,10k-20k,"移动互联网,金融/不需要融资",大专/3-5年
北京,北京点石经纬科技有限公司,"五险一金,带薪年假,节日礼物,年度旅游",高级python工程师,20k-30k,"移动互联网,教育/B轮",大专/5-10年
北京,北京币世界网络科技有限公司,"岗位晋升,五险一金,节日礼物",python工程师,17k-34k,"移动互联网,金融/A轮",本科/3-5年
深圳,深圳云天励飞技术有限公司,"节日礼物,带薪年假,年度旅游,开放务实",Python开发工程师,15k-30k,移动互联网/A轮,本科/3-5年
深圳,深圳市牧马智慧教育科技有限公司,"股票期权,技术大牛,华为,中兴",Python,8k-15k,"移动互联网,教育/A轮",本科/1-3年
北京,北京首都在线科技股份有限公司,"绩效奖金,通讯津贴,定期体检,带薪年假",python研发工程师,15k-30k,移动互联网/上市公司,本科/5-10年
郑州,上海戎磐网络科技有限公司,"带薪年假,定期体检,节日礼物,五险一金",PYTHON开发,8k-10k,信息安全、移动互联网/天使轮,本科/1-3年
杭州,杭州大搜车汽车服务有限公司,"技能培训,Geek,开放,扁平管理",Python实习生07-01-56,4k-5k,"移动互联网,O2O/D轮及以上",不限/应届毕业生
北京,北京启明合心科技有限公司,"扁平管理,最优秀的伙伴,弹性工作,公司午晚餐",Python开发工程师,20k-35k,"移动互联网,教育/A轮",本科/1-3年
苏州,上海众言网络科技有限公司,"技能培训,节日礼物,年底双薪,绩效奖金",高级python开发,15k-25k,移动互联网/B轮,本科/3-5年
广州,优维科技（深圳）有限公司,"年底双薪,午餐补助,股票期权,弹性工作",Python开发-驻场广州,10k-20k,"移动互联网,企业服务/B轮",本科/3-5年
深圳,深圳市紫川软件有限公司,"节日礼物,年底双薪,绩效奖金,岗位晋升",python工程师,8k-14k,"电子商务,金融/不需要融资",本科/1-3年
深圳,深圳呗佬智能有限公司,,python开发工程师,15k-30k,移动互联网/A轮,本科/3-5年
北京,北京汉迪移动互联网科技股份有限公司,"带薪年假,定期体检,文化open,扁平化管理",高级Python工程师,25k-50k,移动互联网/不需要融资,本科/3-5年
深圳,深圳佑驾创新科技有限公司,"无人驾驶,国际标准,车厂合作,海归团队",python工程师,15k-30k,"硬件,其他/A轮",本科/1-3年
北京,北京好巧国际旅行社有限公司,"五险一金,弹性工作,扁平管理,百万医疗",Python研发工程师,18k-30k,数据服务/B轮,大专/3-5年
上海,即科金融信息服务（上海）有限公司,"互联网金融,技能培训,五角场,年度旅游",Python工程师,15k-30k,金融/A轮,本科/1-3年
上海,上海道客网络科技有限公司,"工程师文化,业界大牛,改变世界,豪华团队",Python开发工程师,10k-20k,"企业服务,数据服务/A轮",本科/1-3年
上海,上海谷露软件有限公司,"团队融洽,股票期权,扁平管理,通讯津贴",python工程师,20k-40k,"数据服务,招聘/A轮",不限/不限
上海,上海众言网络科技有限公司,"技能培训,节日礼物,年底双薪,绩效奖金",Python开发,15k-30k,移动互联网/B轮,本科/3-5年
上海,上海魔芋网络科技有限公司,"年底双薪,岗位晋升,扁平管理,领导好",python开发工程师,15k-25k,数据服务/A轮,本科/1-3年
深圳,武汉佰钧成技术有限责任公司,"带薪年假,计算机软件,管理规范,定期体检",python开发工程师,10k-17k,移动互联网/不需要融资,大专/3-5年
深圳,北京市商汤科技开发有限公司,"五险一金,弹性工作,丰盛三餐,发展空间大",Python开发工程师,15k-30k,移动互联网/C轮,本科/3-5年
北京,北京启明合心科技有限公司,"扁平管理,最优秀的伙伴,弹性工作,公司午晚餐",中级python开发工程师,20k-35k,"移动互联网,教育/A轮",本科/不限
北京,北京一览科技有限公司,"股票期权,弹性工作,领导好,扁平管理",python开发工程师,20k-40k,"移动互联网,文化娱乐/B轮",硕士/不限
上海,上海海万信息科技股份有限公司,,Python/R程序开发,10k-15k,"移动互联网,金融/不需要融资",本科/1-3年
苏州,同程网络科技股份有限公司,"绩效奖金,股票期权,年底双薪,五险一金",python开发工程师,12k-18k,"旅游,电子商务/D轮及以上",本科/3-5年
上海,上海丫丫信息科技有限公司,"绩效奖金,股票期权,年底双薪,专项奖金",Python开发工程师,13k-22k,"移动互联网,O2O/不需要融资",本科/不限
上海,再惠（上海）网络科技有限公司,"午餐晚餐补助,领导亲和逗逼,丰厚股票期权,年底2-5薪",Python开发工程师,15k-30k,"移动互联网,企业服务/B轮",本科/1-3年
北京,北京摩尔妈咪网络科技有限公司,"绩效奖金,午餐补助,弹性工作,技能培训",python开发工程师,15k-30k,移动互联网/天使轮,本科/1-3年
成都,北京棕榈创想科技有限公司,"绩效奖金,交通补助,定期体检,午餐补助",Python开发工程师,10k-20k,移动互联网/A轮,本科/1-3年
北京,北京升鑫网络科技有限公司,"五险一金,年底双薪,带薪年假,扁平管理",python开发实习生,2k-3k,数据服务/A轮,硕士/应届毕业生
武汉,北京云族佳科技有限公司,"数字化开发,软件众包事业,结果付酬,实践远程办公",python开发-武汉,10k-15k,移动互联网/A轮,本科/3-5年
北京,北京汇游科技有限公司,"技能培训,带薪年假,绩效奖金,年度旅游",中高级Python开发工程师,20k-30k,"移动互联网,旅游/不需要融资",本科/3-5年
上海,上海众言网络科技有限公司,"技能培训,节日礼物,年底双薪,绩效奖金",Python开发师,15k-30k,移动互联网/B轮,本科/3-5年
杭州,武汉佰钧成技术有限责任公司,"带薪年假,计算机软件,管理规范,定期体检",python开发工程师（余杭未来科技城）,15k-25k,移动互联网/不需要融资,本科/3-5年
深圳,万汇互联（深圳）科技有限公司,"年终分红,绩效奖金,股票期权,带薪年假",Python系统开发工程师,25k-50k,"社交网络,金融/天使轮",本科/3-5年
深圳,深圳小鹅网络技术有限公司,"技能培训,年底双薪,股票期权,带薪年假",数据开发工程师-python,10k-20k,"移动互联网,社交网络/A轮",本科/1-3年
北京,中金中富（北京）文化传媒有限公司,,Python工程师(新闻类),20k-30k,移动互联网/A轮,大专/3-5年
上海,竹间智能科技（上海）有限公司,"年底双薪,股票期权,带薪年假,绩效奖金",Python 开发工程师,20k以上,"移动互联网,其他/B轮",本科/不限
北京,锐波（北京）科技有限公司,"股票期权,扁平管理,美女多,五险一金",高级 Python 工程师,20k-40k,"移动互联网,金融/不需要融资",本科/3-5年
上海,上海道客网络科技有限公司,"工程师文化,业界大牛,改变世界,豪华团队",Python开发工程师,20k-40k,"企业服务,数据服务/A轮",本科/3-5年
北京,乐飞天下信息技术(北京)有限公司,"技能培训,扁平管理,五险一金,午餐补助",python高级研发工程师,20k-35k,"移动互联网,旅游/未融资",大专/5-10年
北京,北京闪银奇异科技有限公司,"13~15薪,晋升空间大,定期体检,能力定薪",python工程师,30k-45k,"移动互联网,金融/D轮及以上",本科/不限
北京,上海诚信互通网络信息科技有限公司,"年底双薪,股票期权,带薪年假,绩效奖金",Python研发工程师,15k-30k,"移动互联网,企业服务/A轮",大专/3-5年
北京,北京车之家信息技术有限公司,"技能培训,节日礼物,带薪年假,绩效奖金",Python开发工程师,15k-25k,"移动互联网,文化娱乐/上市公司",本科/3-5年
北京,北京好巧国际旅行社有限公司,"五险一金,弹性工作,扁平管理,百万医疗",Python高级研发工程师,20k-35k,数据服务/B轮,本科/3-5年
杭州,杭州艾耕科技有限公司,"股票期权,弹性工作,领导好,帅哥多",Python开发工程师,10k-20k,"移动互联网,数据服务/A轮",本科/应届毕业生
上海,上海华钦信息科技股份有限公司,"专项奖金,带薪年假,定期体检,交通补助",Python,20k-30k,"数据服务,金融/未融资",本科/3-5年
苏州,上海众言网络科技有限公司,"技能培训,节日礼物,年底双薪,绩效奖金",初级python工程师,6k-12k,移动互联网/B轮,本科/1-3年
北京,北京每日优鲜便利购电子商务有限公司,"绩效奖金,新零售,六险一金,带薪病假",django/python高级研发工程师,20k-35k,"移动互联网,电子商务/B轮",本科/3-5年
北京,北京天广汇通科技有限公司,"股票期权,午餐补助,通讯津贴,绩效奖金",python开发工程师,15k-25k,"信息安全,数据服务/不需要融资",本科/3-5年
杭州,杭州美登科技股份有限公司,"年度旅游,弹性工作,丰厚年终奖,技术大咖云集",python研发工程师,15k-30k,"电子商务,企业服务/不需要融资",本科/1-3年
北京,北京数美时代科技有限公司,"年底双薪,大数据,带薪年假,通讯津贴",python研发工程师,15k-30k,"企业服务,数据服务/B轮",硕士/1年以下
上海,上海医时信息科技有限公司,"专项奖金,年底双薪,美女多,帅哥多",高级Python研发工程师,15k-25k,"移动互联网,医疗健康/A轮",本科/5-10年
上海,上海大岂网络科技有限公司,"带薪年假,定期体检,年终分红,节日礼物",Python工程师,10k-20k,移动互联网/B轮,本科/1-3年
广州,广州经传多赢投资咨询有限公司,"绩效奖金,年度旅游,扁平管理,技能培训",量化平台研发工程师-python,15k-25k,"移动互联网,金融/不需要融资",本科/3-5年
北京,会找房（北京）网络技术有限公司,"节日礼物,股票期权,带薪年假,年度旅游",Python开发工程师(J10100),15k-30k,移动互联网、金融/D轮及以上,大专/3-5年
北京,北京之洲科技有限责任公司,,高级Python开发工程师,12k-24k,"企业服务,数据服务/不需要融资",本科/1-3年
北京,北京旷视科技有限公司,"科技大牛公司,自助三餐,年终多薪,超长带薪假期",Python 高级开发工程师,20k-40k,"移动互联网,硬件/C轮",本科/3-5年
上海,上海齐家网信息科技股份有限公司,"午餐补助,带薪年假,绩效奖金,交通补助",Python工程师,15k-30k,"O2O ,生活服务/上市公司",本科/3-5年
成都,网信集团有限公司,"股票期权,午餐补助,定期体检,带薪年假",python工程师,10k-20k,"移动互联网,金融/不需要融资",本科/3-5年
上海,南昌力武田电子商务有限公司,"专项奖金,带薪年假,定期体检,年底双薪",Python高级开发工程师,20k-30k,移动互联网/不需要融资,不限/3-5年
长沙,湖南中昱智云物联科技有限公司,"""""",Python,8k-15k,其他/天使轮,不限/1-3年
广州,武汉佰钧成技术有限责任公司,"带薪年假,计算机软件,管理规范,定期体检",中级python开发,11k-18k,移动互联网/不需要融资,本科/3-5年
北京,北京智者天下科技有限公司,"年底双薪,股票期权,带薪年假,定期体检",Python开发工程师,15k-30k,"移动互联网,社交网络/D轮及以上",本科/3-5年
徐州,徐州文旭信息技术有限公司,"年度旅游,美女多,帅哥多,领导好",python,3k-6k,电子商务、移动互联网/未融资,大专/1年以下
北京,厦门美柚信息科技有限公司,"绩效奖金,股票期权,年底双薪,专项奖金",资深python开发工程师,20k-40k,移动互联网/D轮及以上,本科/5-10年
深圳,达而观信息科技（上海）有限公司,"AI人工智能,NLP,技术领先,市场口碑佳",高级python开发工程师,18k-36k,移动互联网/B轮,本科/3-5年
北京,炫一下（北京）科技有限公司,"带薪年假,绩效奖金,岗位晋升,管理规范",Python研发工程师,35k-55k,"移动互联网,文化娱乐/D轮及以上",本科/3-5年
苏州,上海众言网络科技有限公司,"技能培训,节日礼物,年底双薪,绩效奖金",Python开发工程师,10k-20k,移动互联网/B轮,本科/1-3年
深圳,深圳市众鑫通达科技有限公司,"""""",高级python开发,20k-30k,移动互联网 社交网络/天使轮,本科/3-5年
上海,瞬联软件科技（北京）有限公司,"高薪,节日礼物,弹性工作,带薪年假",python开发工程师,10k-20k,"移动互联网 ,企业服务/不需要融资",本科/不限
北京,小小黛朵（北京）科技有限公司,"股票期权,年底双薪,带薪年假,功夫熊按摩",python工程师,16k-20k,"移动互联网,金融/B轮",大专/3-5年
北京,北京慕华信息科技有限公司,"节日礼物,股票期权,带薪年假,氛围轻松",Python工程师,15k-25k,"移动互联网,教育/B轮",本科/3-5年
北京,上海蔚来汽车有限公司,"年底双薪,带薪年假,通讯津贴,交通补助",python,20k-40k,"移动互联网,硬件/D轮及以上",本科/3-5年
泉州,福建益华（集团）有限公司,"年底双薪,带薪年假,午餐补助,弹性工作",python开发工程师,8k-16k,"移动互联网,企业服务/不需要融资",本科/3-5年
北京,北京数美时代科技有限公司,"年底双薪,大数据,带薪年假,通讯津贴",python研发工程师,15k-30k,"企业服务,数据服务/B轮",硕士/1年以下
广州,广州经传多赢投资咨询有限公司,"绩效奖金,年度旅游,扁平管理,技能培训",python高级开发工程师,10k-20k,"移动互联网,金融/不需要融资",本科/1-3年
深圳,武汉佰钧成技术有限责任公司,"带薪年假,计算机软件,管理规范,定期体检",Python/Rhadoop 数据挖掘,18k-30k,移动互联网/不需要融资,大专/5-10年
北京,美味书签（北京）信息技术有限公司,"股票期权,带薪年假,六险一金,定期体检",Python 工程师,20k-40k,"移动互联网,企业服务/A轮",本科/3-5年
北京,车好多旧机动车经纪(北京)有限公司,"带薪年假,弹性工作,免费班车,美女多",Python,25k-30k,O2O/C轮,本科/3-5年
上海,智慧芽信息科技（苏州）有限公司,"技能培训,年底双薪,节日礼物,绩效奖金",高级Python开发工程师,20k-30k,移动互联网/D轮及以上,本科/3-5年
北京,北京云族佳科技有限公司,"数字化开发,软件众包事业,结果付酬,实践远程办公",python高级工程师-北京,25k-40k,移动互联网/A轮,大专/5-10年
北京,北京小龙虾科技有限公司,"股票期权,带薪年假,扁平管理,定期体检",python工程师,15k-25k,"金融,数据服务/B轮",本科/不限
北京,北京慕华信息科技有限公司,"节日礼物,股票期权,带薪年假,氛围轻松",Python工程师,15k-25k,"移动互联网,教育/B轮",本科/3-5年
北京,北京好巧国际旅行社有限公司,"五险一金,弹性工作,扁平管理,百万医疗",Linux C++/Python中高级研发工程师,25k-35k,数据服务/B轮,本科/5-10年
成都,北京棕榈创想科技有限公司,"绩效奖金,交通补助,定期体检,午餐补助",Python开发工程师（成都）,10k-20k,移动互联网/A轮,本科/1-3年
北京,深圳市麦达数字股份有限公司,"股票期权,绩效奖金,带薪年假,定期体检",PYTHON研发工程师,25k-35k,"企业服务,数据服务/上市公司",本科/3-5年
上海,上海汇付数据服务有限公司,"年底双薪,带薪年假,绩效奖金,年度旅游",运维开发工程师（Python）,14k-18k,"移动互联网,金融/C轮",本科/1-3年
北京,北京格灵深瞳信息技术有限公司,"技能培训,节日礼物,玩乐项目多,岗位晋升",Python高级开发工程师&nbsp;,15k-30k,"企业服务,数据服务/C轮",本科/3-5年
北京,掌阅科技股份有限公司,"专项奖金,带薪年假,年度旅游,扁平管理",高级Python研发工程师,25k-35k,移动互联网/上市公司,本科/3-5年
北京,北京弥财投资咨询有限公司,"一天两次冥想,扁平管理,五险一金,弹性工作",高级Python开发工程师,20k-40k,金融/A轮,本科/5-10年
上海,上海众言网络科技有限公司,"技能培训,节日礼物,年底双薪,绩效奖金",Python中级开发工程师,15k-30k,移动互联网/B轮,本科/3-5年
武汉,武汉佰钧成技术有限责任公司,"带薪年假,计算机软件,管理规范,定期体检",python软件开发工程师,6k-12k,移动互联网/不需要融资,本科/不限
北京,遨游酒店信息技术(深圳)有限责任公司,"扁平管理,弹性工作,精英团队,高速发展",高级Python研发工程师,15k-30k,移动互联网/不需要融资,本科/3-5年
廊坊,智线云科技（北京）有限公司,"绩效奖金,股票期权,带薪年假,弹性工作",Python中级工程师,8k-15k,"移动互联网,数据服务/A轮",本科/1-3年
北京,北京旷视科技有限公司,"科技大牛公司,自助三餐,年终多薪,超长带薪假期",高级Python开发工程师,25k-50k,"移动互联网,硬件/C轮",本科/3-5年
苏州,苏州锦佰安信息技术有限公司,"股票期权,弹性工作,带薪年假,绩效奖金",Python开发工程师,12k-20k,信息安全/天使轮,本科/3-5年
北京,北京车之家信息技术有限公司,"技能培训,节日礼物,带薪年假,绩效奖金",python工程师,15k-25k,"移动互联网,文化娱乐/上市公司",本科/3-5年
北京,北京数美时代科技有限公司,"年底双薪,大数据,带薪年假,通讯津贴",python研发工程师,15k-30k,"企业服务,数据服务/B轮",本科/1-3年
北京,北京步鼎方舟科技有限公司,,Python高级开发工程师,20k-30k,"移动互联网,O2O/C轮",本科/3-5年
北京,北京棕榈创想科技有限公司,"绩效奖金,交通补助,定期体检,午餐补助",Python开发工程师,15k-25k,移动互联网/A轮,本科/3-5年
北京,杭州微易信息科技有限公司,"节日礼物,带薪年假,年度旅游,定期体检",python开发工程师,20k-40k,"移动互联网,金融/B轮",本科/3-5年
北京,北京果壳互动科技传媒有限公司,"技能培训,年度旅游,岗位晋升,家庭式三餐",高级Python开发工程师,20k-40k,"移动互联网,社交网络/C轮",本科/3-5年
